epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1107.77,0.51526,0.46701,0.92573,0.58575,0.65668,0.62355,0.52103,0.6839,1.19612,1.0507,0.000108154,0.000108154,0.000108154
79,1121.42,0.51245,0.45919,0.92624,0.57774,0.69836,0.64942,0.54463,0.68468,1.19189,1.04546,0.000103649,0.000103649,0.000103649
80,1135.16,0.5064,0.44734,0.92303,0.5742,0.66482,0.62806,0.52201,0.68552,1.23273,1.04826,9.91445e-05,9.91445e-05,9.91445e-05
81,1150.68,0.50254,0.4483,0.92501,0.60646,0.62695,0.6398,0.54311,0.67622,1.22729,1.03692,9.464e-05,9.464e-05,9.464e-05
82,1173.19,0.49689,0.45273,0.91869,0.62736,0.61708,0.63383,0.53455,0.67388,1.20182,1.04728,9.01355e-05,9.01355e-05,9.01355e-05
83,1192.78,0.50319,0.46018,0.92539,0.54299,0.7187,0.64776,0.5402,0.67328,1.16272,1.03759,8.5631e-05,8.5631e-05,8.5631e-05
84,1212.55,0.50144,0.4488,0.92133,0.61112,0.65657,0.62879,0.51999,0.68083,1.28119,1.05348,8.11265e-05,8.11265e-05,8.11265e-05
85,1227.9,0.4906,0.42994,0.91892,0.64323,0.6096,0.63323,0.53089,0.68065,1.2751,1.04667,7.6622e-05,7.6622e-05,7.6622e-05
86,1241.64,0.49306,0.4415,0.92018,0.57175,0.6811,0.64635,0.53915,0.69111,1.2331,1.04868,7.21175e-05,7.21175e-05,7.21175e-05
87,1255.34,0.48171,0.42816,0.91352,0.64252,0.62269,0.65103,0.54287,0.67495,1.24253,1.04265,6.7613e-05,6.7613e-05,6.7613e-05
88,1269.15,0.48796,0.42579,0.91363,0.62429,0.6122,0.63927,0.53932,0.68076,1.27488,1.06185,6.31085e-05,6.31085e-05,6.31085e-05
89,1284.75,0.47913,0.42373,0.91333,0.61693,0.63776,0.63412,0.53342,0.68311,1.24643,1.05318,5.8604e-05,5.8604e-05,5.8604e-05
